Date : 2023-05-11 23:51:44
Directory : /home/lycan/Programming/rabbithole
Total : 1004 files,  44691 codes, 5876 comments, 6141 blanks, all 56708 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Lua              |        289 |     29,856 |      5,673 |      4,885 |     40,414 |
| XML              |        675 |     10,493 |         29 |        288 |     10,810 |
| CSS              |          7 |      1,973 |         49 |        376 |      2,398 |
| Markdown         |         23 |      1,968 |          2 |        507 |      2,477 |
| Shell Script     |          4 |        197 |         39 |         41 |        277 |
| Diff             |          1 |         96 |          0 |          9 |        105 |
| Properties       |          1 |         47 |          1 |          5 |         53 |
| reStructuredText |          1 |         31 |          7 |         14 |         52 |
| YAML             |          2 |         18 |         11 |          6 |         35 |
| C++              |          1 |         12 |         65 |         10 |         87 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |      1,004 |     44,691 |      5,876 |      6,141 |     56,708 |
| . (Files)                                                                                                          |          5 |        156 |         21 |         35 |        212 |
| .github                                                                                                            |          3 |         45 |         11 |         24 |         80 |
| .github (Files)                                                                                                    |          1 |          1 |         11 |          2 |         14 |
| .github/ISSUE_TEMPLATE                                                                                             |          1 |         27 |          0 |         18 |         45 |
| .github/workflows                                                                                                  |          1 |         17 |          0 |          4 |         21 |
| lua_modules                                                                                                        |        135 |     16,600 |      4,089 |      2,350 |     23,039 |
| lua_modules/lib                                                                                                    |        103 |     10,718 |      1,044 |      1,324 |     13,086 |
| lua_modules/lib/luarocks                                                                                           |        103 |     10,718 |      1,044 |      1,324 |     13,086 |
| lua_modules/lib/luarocks/rocks-5.2                                                                                 |         54 |      5,927 |        553 |        764 |      7,244 |
| lua_modules/lib/luarocks/rocks-5.2/luasocket                                                                       |         49 |      4,791 |        491 |        560 |      5,842 |
| lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1                                                               |         49 |      4,791 |        491 |        560 |      5,842 |
| lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/docs                                                          |          1 |         41 |          0 |         15 |         56 |
| lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/etc                                                           |         12 |      1,014 |        282 |        128 |      1,424 |
| lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/samples                                                       |         10 |        273 |         54 |         25 |        352 |
| lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/test                                                          |         26 |      3,463 |        155 |        392 |      4,010 |
| lua_modules/lib/luarocks/rocks-5.2/serpent                                                                         |          2 |        383 |         29 |         78 |        490 |
| lua_modules/lib/luarocks/rocks-5.2/serpent/0.30-2                                                                  |          2 |        383 |         29 |         78 |        490 |
| lua_modules/lib/luarocks/rocks-5.2/serpent/0.30-2/t                                                                |          2 |        383 |         29 |         78 |        490 |
| lua_modules/lib/luarocks/rocks-5.2/std._debug                                                                      |          1 |        251 |         11 |         42 |        304 |
| lua_modules/lib/luarocks/rocks-5.2/std._debug/1.0.1-1                                                              |          1 |        251 |         11 |         42 |        304 |
| lua_modules/lib/luarocks/rocks-5.2/std._debug/1.0.1-1/doc                                                          |          1 |        251 |         11 |         42 |        304 |
| lua_modules/lib/luarocks/rocks-5.2/std.functional                                                                  |          1 |        251 |         11 |         42 |        304 |
| lua_modules/lib/luarocks/rocks-5.2/std.functional/1.0-1                                                            |          1 |        251 |         11 |         42 |        304 |
| lua_modules/lib/luarocks/rocks-5.2/std.functional/1.0-1/doc                                                        |          1 |        251 |         11 |         42 |        304 |
| lua_modules/lib/luarocks/rocks-5.2/std.normalize                                                                   |          1 |        251 |         11 |         42 |        304 |
